"STATE","FLOOD_CAUSE","BEGIN_DATE_TIME","END_DATE_TIME"
"Wisconsin","Heavy Rain","2020/5/18","2020/5/19"
"South Dakota","Heavy Rain","2020/5/16","2020/5/16"
"Illinois","Heavy Rain","2020/5/14","2020/5/15"
"Utah","Heavy Rain","2020/5/11","2020/5/11"
"Idaho","Heavy Rain / Snow Melt","2020/2/7","2020/2/8"
"Texas","Heavy Rain","2020/5/27","2020/5/27"
"Illinois","Heavy Rain","2020/5/25","2020/5/25"
"Kansas","Heavy Rain","2020/5/14","2020/5/14"
"Kansas","Heavy Rain","2020/5/14","2020/5/15"
"South Carolina","Heavy Rain","2020/5/20","2020/5/20"
"South Carolina","Heavy Rain","2020/5/20","2020/5/21"
"Wisconsin","Heavy Rain","2020/5/1","2020/5/5"
"Virginia","Heavy Rain","2020/12/2","2020/12/2"
"Illinois","Heavy Rain","2020/5/16","2020/5/16"
"Idaho","Heavy Rain","2020/2/7","2020/2/7"
"Texas","Heavy Rain","2020/5/14","2020/5/14"
"Kansas","Heavy Rain","2020/5/13","2020/5/13"
"Arkansas","Heavy Rain","2020/5/16","2020/5/16"
"North Carolina","Heavy Rain","2020/5/27","2020/5/27"
"North Carolina","Heavy Rain","2020/5/27","2020/5/28"
"Illinois","Heavy Rain","2020/5/16","2020/5/17"
"Kansas","Heavy Rain","2020/5/28","2020/5/28"
"Arkansas","Heavy Rain","2020/5/17","2020/5/17"
"Arkansas","Heavy Rain","2020/5/27","2020/5/27"
"Wisconsin","Heavy Rain","2020/5/17","2020/5/18"
"Florida","Heavy Rain","2020/5/16","2020/5/16"
"Florida","Heavy Rain","2020/5/15","2020/5/15"
"Ohio","Heavy Rain","2020/5/15","2020/5/15"
"Texas","Heavy Rain","2020/5/16","2020/5/16"
"Kansas","Heavy Rain","2020/5/15","2020/5/15"
"Illinois","Heavy Rain","2020/5/15","2020/5/15"
"Kansas","Heavy Rain","2020/5/22","2020/5/22"
"Virginia","Heavy Rain","2020/5/20","2020/5/22"
"Ohio","Heavy Rain","2020/5/24","2020/5/24"
"Wisconsin","Heavy Rain","2020/5/17","2020/5/20"
"Wisconsin","Heavy Rain","2020/5/18","2020/5/20"
"South Dakota","Heavy Rain","2020/5/23","2020/5/23"
"North Carolina","Heavy Rain","2020/5/28","2020/5/28"
"Virginia","Heavy Rain","2020/5/20","2020/5/23"
"Virginia","Heavy Rain","2020/5/21","2020/5/24"
"Virginia","Heavy Rain","2020/5/21","2020/5/25"
"Virginia","Heavy Rain","2020/5/21","2020/5/27"
"Missouri","Heavy Rain","2020/5/14","2020/5/14"
"Texas","Heavy Rain","2020/5/25","2020/5/25"
"Arkansas","Heavy Rain","2020/5/1","2020/5/31"
"Arkansas","Heavy Rain","2020/5/1","2020/5/4"
"Arkansas","Heavy Rain","2020/5/1","2020/5/6"
"Arkansas","Heavy Rain","2020/5/1","2020/5/2"
"Arkansas","Heavy Rain","2020/5/8","2020/5/12"
"Arkansas","Heavy Rain","2020/5/13","2020/5/31"
"Arkansas","Heavy Rain","2020/5/8","2020/5/15"
"Oklahoma","Heavy Rain","2020/5/16","2020/5/16"
"South Carolina","Heavy Rain","2020/5/28","2020/5/28"
"Oklahoma","Heavy Rain","2020/5/15","2020/5/15"
"Kentucky","Heavy Rain","2020/5/18","2020/5/18"
"Florida","Heavy Rain","2020/5/18","2020/5/18"
"Kansas","Heavy Rain","2020/5/25","2020/5/25"
"West Virginia","Heavy Rain","2020/2/6","2020/2/8"
"Tennessee","Heavy Rain","2020/2/5","2020/2/5"
"Missouri","Heavy Rain","2020/5/16","2020/5/16"
"Missouri","Heavy Rain","2020/5/14","2020/5/15"
"Arkansas","Heavy Rain","2020/5/22","2020/5/31"
"Arkansas","Heavy Rain","2020/5/18","2020/5/25"
"Arkansas","Heavy Rain","2020/5/17","2020/5/20"
"Arkansas","Heavy Rain","2020/5/17","2020/5/19"
"Arkansas","Heavy Rain","2020/5/17","2020/5/18"
"Arkansas","Heavy Rain","2020/5/24","2020/5/31"
"Arkansas","Heavy Rain","2020/5/27","2020/5/31"
"Arkansas","Heavy Rain","2020/5/23","2020/5/24"
"Arkansas","Heavy Rain","2020/5/23","2020/5/25"
"Wisconsin","Heavy Rain","2020/5/1","2020/5/31"
"Montana","Heavy Rain / Snow Melt","2020/5/31","2020/5/31"
"Montana","Heavy Rain / Snow Melt","2020/5/20","2020/5/20"
"Montana","Heavy Rain / Snow Melt","2020/5/19","2020/5/31"
"Wisconsin","Dam / Levee Break","2020/5/27","2020/5/27"
"Alabama","Heavy Rain","2020/2/5","2020/2/5"
"Oklahoma","Heavy Rain","2020/2/24","2020/2/28"
"Virginia","Heavy Rain","2020/5/20","2020/5/21"
"Texas","Heavy Rain","2020/5/24","2020/5/24"
"Colorado","Heavy Rain","2020/5/30","2020/5/30"
"District of Columbia","Heavy Rain","2020/12/2","2020/12/2"
"Illinois","Heavy Rain","2020/5/25","2020/5/26"
"Kansas","Heavy Rain","2020/5/24","2020/5/25"
"West Virginia","Heavy Rain","2020/2/6","2020/2/6"
"West Virginia","Heavy Rain","2020/2/6","2020/2/7"
"Virginia","Heavy Rain","2020/5/22","2020/5/22"
"Ohio","Heavy Rain","2020/5/18","2020/5/19"
"Oklahoma","Heavy Rain","2020/5/24","2020/5/24"
"Maryland","Heavy Rain","2020/12/1","2020/12/1"
"Illinois","Heavy Rain","2020/5/17","2020/5/19"
"Illinois","Heavy Rain","2020/5/17","2020/5/20"
