"EVENT_ID","LOCATION","LATITUDE","LONGITUDE"
886138,"Plymouth",43.75,-87.97
886145,"Kohler",43.73,-87.76
886146,"Sheboygan Co Ar",43.77,-87.85
886154,"Beaver Dam",43.46,-88.84
886157,"Waupun",43.63,-88.74
886159,"Juneau",43.41,-88.7
886161,"Hustisford",43.35,-88.6
886164,"Danville",43.36,-88.99
886169,"Holy Hill",43.25,-88.37
886173,"St Anthony",43.43,-88.28
886177,"Hartford",43.31,-88.34
886178,"Saukville",43.39,-87.97
886179,"Five Corners",43.32,-88.04
886082,"Hiawatha Camp",40.83,-109.01
886085,"Greystone",40.74,-108.84
886086,"Meeker Arpt",40.05,-107.88
886088,"Durham",39.11,-108.6
886089,"Clifton",39.08,-108.44
886091,"Cortez Arpt",37.3,-108.63
886093,"Orchard Mesa",39.03,-108.52
886093,"Grand Jct",39.05,-108.52
886096,"Fruita",39.16,-108.74
887498,"Cameo",39.2,-108.27
887499,"Douglas Pass",39.6,-108.81
887500,"Dove Creek",37.81,-109.02
887501,"Cahone",37.68,-108.91
890831,"Grand Jct",39.0953,-108.5308
890832,"Orchard Mesa",39.0439,-108.5347
890833,"Grand Jct",39.0459,-108.5208
886107,"Hamilton",48.8,-97.45
886114,"St Thomas",48.66,-97.45
886118,"Big Woods",48.33,-97.05
886136,"Moab",38.57,-109.55
886139,"Canyonlands Fld",38.76,-109.74
886143,"Blanding Muni a",37.58,-109.47
886147,"Crescent Jct",38.95,-109.79
886148,"Aneth",37.23,-109.21
889038,"Bevent",44.76,-89.38
889039,"Fontenoy",44.37,-87.81
889040,"Maribel",44.28,-87.81
886200,"Mack",39.27,-108.93
886201,"Durham",39.09,-108.58
886202,"Rifle Arpt",39.53,-107.73
886208,"Rangely",39.92,-108.89
886209,"Skyway",39.09,-108.12
886211,"Meeker Arpt",40.05,-107.88
887493,"De Beque",40.76,-107.85
887494,"Buford",40.08,-107.37
887495,"Blue Mtn",40.24,-108.77
887496,"Dolores",37.48,-108.55
891170,"West Hamlin",38.29,-82.17
891171,"Mineral Wells Arpt",39.18,-81.51
891172,"Byrnside",38.36,-81.95
891175,"Pennsboro",39.28,-80.98
891207,"Foster",38.7936,-84.2156
891207,"Foster",38.7917,-84.215
891207,"Foster",38.7926,-84.2137
891207,"Foster",38.794,-84.2146
891209,"Park Hills",39.08,-84.52
891209,"Park Hills",39.0798,-84.5199
891209,"Park Hills",39.0799,-84.5201
891209,"Park Hills",39.08,-84.5201
891212,"Foster",38.8,-84.21
891360,"Crosstown",37.7722,-89.7977
891362,"Harviell",36.6534,-90.52
899003,"Fremont",36.9481,-91.1754
899003,"Fremont",36.9291,-91.1238
899003,"Eastwood",36.9327,-91.0864
899003,"South Van Buren",36.9454,-91.049
899003,"Van Buren",37.014,-91.0482
899003,"Fremont",37.0001,-91.1549
891365,"Murphysboro",37.7423,-89.4146
891370,"Elkton",36.7688,-87.2139
899012,"Henderson",37.83,-87.58
899012,"Spottsville",37.85,-87.42
899012,"Reed",37.85,-87.35
899012,"Hebbardsville",37.7601,-87.4071
899012,"Robards",37.67,-87.55
899012,"Corydon",37.73,-87.7
899013,"Calhoun",37.53,-87.27
899013,"Island",37.45,-87.15
899013,"Livermore",37.48,-87.13
899013,"Nuckols",37.5174,-87.1449
899013,"Calhoun",37.555,-87.2445
899021,"Owensboro",37.77,-87.12
899021,"Knottsville",37.77,-86.9
899021,"Whitesville",37.68,-86.88
899021,"Utica",37.62,-87.12
899021,"Panther",37.6329,-87.2429
899021,"Curdsville",37.73,-87.33
899022,"Central City",37.329,-87.13
899022,"Central City",37.3,-87.0936
899022,"Central City",37.2711,-87.13
899022,"Central City",37.3,-87.1664
899381,"Paradise",37.27,-86.98
899381,"Martwick",37.3111,-86.9868
899381,"Martwick",37.3116,-86.9944
899381,"Paradise",37.27,-86.9878
891402,"Rawlins Airport",41.81,-107.2
891403,"Coyote Springs",41.74,-106.84
891404,"Carpenter",41.03,-104.34
891405,"Carpenter",41.11,-104.36
891406,"Carpenter",41.04,-104.38
891407,"Archer",41.16,-104.63
891408,"Cheyenne Airport",41.18,-104.84
891409,"Cheyenne Airport",41.17,-104.77
891410,"Cheyenne Airport",41.17,-104.79
891411,"Cheyenne Airport",41.18,-104.75
891412,"Archer",41.2,-104.72
891413,"Cheyenne Airport",41.17,-104.78
891414,"Cheyenne Airport",41.17,-104.81
891415,"Cheyenne Airport",41.17,-104.78
891416,"Federal",41.27,-105.1
891418,"Sidney Arpt",41.1,-102.98
891419,"Dalton",41.39,-102.97
891453,"Britton",41.99,-83.83
891454,"Chesterfield",42.66,-82.88
891455,"Deford",43.53,-83.23
891456,"Fairgrove",43.52,-83.54
